transaction_id,customer_id,account_number,customer_name,timestamp,amount,merchant,merchant_category,payment_channel,transaction_type,country,city,state,device_type,ip_address,risk_score,is_fraud
TXN-101047,CUST-1098,ACC-8616379926,Customer 98,2026-04-20 11:01:03,1051.98,Reliance Digital,Electronics,POS,Transfer,India,New Delhi,Delhi,Android Tablet,192.168.1.55,14,0
TXN-107124,CUST-1008,ACC-6756332150,Customer 8,2026-04-20 11:06:34,341.21,HDFC Home Loan,Financial Services,UPI,Purchase,India,Bengaluru,Karnataka,Samsung Galaxy S24,49.206.12.180,19,0
TXN-103958,CUST-1064,ACC-6110572428,Customer 64,2026-04-20 11:10:30,455.52,Swiggy Delivery,Food & Dining,UPI,Withdrawal,India,Hyderabad,Telangana,iPhone 15,103.45.21.92,12,0
TXN-105646,CUST-1090,ACC-4218981849,Customer 90,2026-04-20 11:13:21,29212.25,Offsite ATM Bangalore,ATM Cash Out,ATM,Withdrawal,India,Hyderabad,Telangana,Samsung Galaxy S24,192.168.1.248,76,1
TXN-102451,CUST-1218,ACC-4574027737,Customer 218,2026-04-20 11:13:45,607.84,Zomato Food,Food & Dining,UPI,Purchase,India,Ahmedabad,Gujarat,MacBook Pro,192.168.1.25,17,0
TXN-103477,CUST-1186,ACC-6928678489,Customer 186,2026-04-20 11:14:21,7687.53,Swiggy Delivery,Food & Dining,ATM,Purchase,India,Ahmedabad,Gujarat,MacBook Pro,49.206.12.198,13,0
TXN-102932,CUST-1300,ACC-8517413631,Customer 300,2026-04-20 11:15:49,14675.48,HDFC Home Loan,Financial Services,ATM,Withdrawal,India,Mumbai,Maharashtra,MacBook Pro,49.206.12.45,13,0
TXN-102791,CUST-1128,ACC-6737421496,Customer 128,2026-04-20 11:35:34,2825.5,Flipkart Retail,Shopping,UPI,Purchase,India,Pune,Maharashtra,Samsung Galaxy S24,49.206.12.119,11,0
TXN-105407,CUST-1393,ACC-3778416511,Customer 393,2026-04-20 11:36:18,6132.3,Uber India,Travel,ATM,Transfer,India,Chennai,Tamil Nadu,MacBook Pro,49.206.12.71,21,0
TXN-101671,CUST-1118,ACC-8285786023,Customer 118,2026-04-20 11:36:22,673.2,Reliance Digital,Electronics,UPI,Purchase,India,Ahmedabad,Gujarat,Windows Desktop,103.45.21.170,3,0
